"type","listed_in","release_year","total_titles"
Movie,Cult Movies,1971,2
TV Show,Teen TV Shows,2010,2
Movie,Horror Movies,1999,2
Movie,Classic Movies,1982,2
Movie,Sports Movies,2004,2
TV Show,Anime Series,2003,2
Movie,Classic Movies,1988,2
Movie,Horror Movies,1992,2
Movie,Cult Movies,1976,2
TV Show,Kids' TV,2000,2
TV Show,Kids' TV,1996,2
TV Show,Teen TV Shows,2006,2
Movie,International Movies,1977,2
Movie,Comedies,1986,2
Movie,Classic Movies,1963,1
Movie,Cult Movies,2011,1
TV Show,Teen TV Shows,2000,1
TV Show,TV Comedies,2004,1
Movie,Documentaries,1979,1
Movie,Action & Adventure,1968,1
Movie,Anime Features,1979,1
Movie,Sports Movies,1974,1
Movie,Stand-Up Comedy,2005,1
TV Show,TV Sci-Fi & Fantasy,1993,1
TV Show,Kids' TV,1993,1
TV Show,Spanish-Language TV Shows,2002,1
Movie,Cult Movies,2010,1
Movie,Comedies,1983,1
Movie,Sci-Fi & Fantasy,1992,1
Movie,Classic Movies,1943,1
TV Show,Crime TV Shows,2007,1
Movie,Stand-Up Comedy,1989,1
TV Show,TV Action & Adventure,1993,1
Movie,Anime Features,2001,1
Movie,Romantic Movies,1993,1
Movie,Horror Movies,1996,1
Movie,International Movies,1969,1
TV Show,Classic & Cult TV,2008,1
Movie,Comedies,1958,1
Movie,Comedies,1987,1
TV Show,International TV Shows,1995,1
Movie,Stand-Up Comedy,2002,1
Movie,LGBTQ Movies,2010,1
TV Show,Spanish-Language TV Shows,2007,1
TV Show,TV Action & Adventure,2006,1
Movie,Movies,2008,1
TV Show,TV Dramas,2004,1
Movie,Dramas,1966,1
TV Show,Crime TV Shows,1999,1
Movie,Children & Family Movies,1971,1
TV Show,Teen TV Shows,1999,1
Movie,Anime Features,2007,1
TV Show,Anime Series,1986,1
TV Show,TV Horror,2008,1
Movie,Thrillers,1983,1
Movie,Thrillers,1985,1
TV Show,Korean TV Shows,2011,1
Movie,Faith & Spirituality,2005,1
Movie,Sports Movies,1989,1
TV Show,Crime TV Shows,2005,1
Movie,Action & Adventure,1961,1
Movie,Thrillers,1968,1
Movie,Anime Features,1982,1
Movie,Sports Movies,2003,1
Movie,Romantic Movies,1988,1
Movie,Music & Musicals,1994,1
Movie,Horror Movies,2002,1
Movie,Independent Movies,1973,1
TV Show,Stand-Up Comedy & Talk Shows,2007,1
Movie,International Movies,1966,1
TV Show,Teen TV Shows,2008,1
Movie,Sci-Fi & Fantasy,2020,1
Movie,Documentaries,1947,1
TV Show,TV Dramas,1999,1
Movie,Comedies,1977,1
Movie,Children & Family Movies,1954,1
Movie,Documentaries,1980,1
TV Show,British TV Shows,1999,1
TV Show,Crime TV Shows,2009,1
TV Show,TV Dramas,1986,1
Movie,Stand-Up Comedy,2001,1
TV Show,TV Shows,1991,1
TV Show,Teen TV Shows,2002,1
Movie,Cult Movies,1970,1
Movie,Cult Movies,1977,1
TV Show,Stand-Up Comedy & Talk Shows,2008,1
Movie,Stand-Up Comedy,1993,1
TV Show,TV Sci-Fi & Fantasy,2007,1
Movie,Romantic Movies,1962,1
Movie,Faith & Spirituality,2000,1
Movie,Faith & Spirituality,2011,1
TV Show,TV Dramas,1988,1
TV Show,Kids' TV,1990,1
Movie,Music & Musicals,1974,1
Movie,Romantic Movies,1965,1
Movie,Stand-Up Comedy,1990,1
TV Show,TV Mysteries,2001,1
Movie,International Movies,1962,1
Movie,International Movies,1972,1
TV Show,TV Dramas,1990,1
Movie,Stand-Up Comedy,2000,1
TV Show,TV Horror,2011,1
TV Show,TV Shows,1946,1
Movie,Romantic Movies,1980,1
Movie,Stand-Up Comedy,1983,1
TV Show,Docuseries,1999,1
TV Show,TV Mysteries,2014,1
Movie,Independent Movies,1977,1
Movie,Action & Adventure,1956,1
TV Show,Anime Series,2001,1
Movie,Horror Movies,1990,1
TV Show,International TV Shows,1974,1
Movie,Cult Movies,1978,1
TV Show,Anime Series,2002,1
TV Show,Kids' TV,2001,1
Movie,Faith & Spirituality,2006,1
TV Show,Crime TV Shows,1990,1
Movie,Anime Features,2005,1
TV Show,Kids' TV,1999,1
Movie,LGBTQ Movies,1993,1
TV Show,TV Shows,1945,1
Movie,Horror Movies,1968,1
Movie,Independent Movies,1999,1
Movie,Classic Movies,2018,1
Movie,Romantic Movies,1972,1
Movie,Independent Movies,1996,1
Movie,Dramas,1964,1
TV Show,TV Sci-Fi & Fantasy,2009,1
Movie,Comedies,1973,1
Movie,Children & Family Movies,1982,1
Movie,Music & Musicals,1987,1
TV Show,Crime TV Shows,2006,1
Movie,Horror Movies,1978,1
TV Show,TV Comedies,1998,1
TV Show,TV Action & Adventure,2009,1
TV Show,Classic & Cult TV,2013,1
Movie,Sports Movies,1984,1
TV Show,Spanish-Language TV Shows,2003,1
Movie,Cult Movies,2016,1
Movie,Horror Movies,1976,1
Movie,Music & Musicals,2001,1
TV Show,Science & Nature TV,2012,1
Movie,LGBTQ Movies,1995,1
TV Show,TV Shows,2014,1
TV Show,TV Action & Adventure,2004,1
Movie,Action & Adventure,1967,1
TV Show,TV Sci-Fi & Fantasy,1963,1
Movie,Comedies,1962,1
TV Show,Stand-Up Comedy & Talk Shows,2014,1
TV Show,TV Comedies,1994,1
TV Show,British TV Shows,1992,1
Movie,Thrillers,1987,1
Movie,Music & Musicals,1983,1
TV Show,Docuseries,2005,1
Movie,Horror Movies,1974,1
Movie,Faith & Spirituality,2012,1
TV Show,British TV Shows,1977,1
TV Show,TV Sci-Fi & Fantasy,2006,1
Movie,Sports Movies,1990,1
Movie,Dramas,1955,1
Movie,Sports Movies,1988,1
TV Show,TV Action & Adventure,2000,1
TV Show,Stand-Up Comedy & Talk Shows,2016,1
Movie,Dramas,1963,1
Movie,Horror Movies,1983,1
Movie,Independent Movies,1990,1
Movie,Classic Movies,1985,1
Movie,Romantic Movies,1992,1
Movie,Movies,2005,1
Movie,Children & Family Movies,1981,1
TV Show,Classic & Cult TV,1977,1
TV Show,Anime Series,2000,1
Movie,Documentaries,1997,1
Movie,Sports Movies,1979,1
TV Show,Classic & Cult TV,1963,1
Movie,LGBTQ Movies,2006,1
TV Show,Classic & Cult TV,2004,1
TV Show,Anime Series,2005,1
Movie,Stand-Up Comedy,1979,1
TV Show,Spanish-Language TV Shows,1979,1
Movie,Movies,2020,1
Movie,Documentaries,1972,1
Movie,Independent Movies,2000,1
TV Show,TV Thrillers,1998,1
Movie,Sports Movies,1991,1
TV Show,British TV Shows,2004,1
Movie,Stand-Up Comedy,2007,1
Movie,Music & Musicals,1988,1
Movie,Documentaries,1988,1
TV Show,Classic & Cult TV,1974,1
TV Show,Reality TV,2001,1
TV Show,Spanish-Language TV Shows,2006,1
TV Show,Reality TV,2006,1
Movie,Cult Movies,2018,1
Movie,Movies,1988,1
